ID,STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
2177,Maharashtra,Raver,SONAWANE VANDANA SHIVAJI,Independent,978
2178,Maharashtra,Raver,SHAIKH MO. ASGAR SAKHAWAT,Republican Party of India,821
2179,Maharashtra,Raver,None of the Above,None of the Above,4212
2180,Maharashtra,Buldhana,JADHAV PRATAPRAO GANPATRAO,Shivsena,509145
2181,Maharashtra,Buldhana,INGLE KRUSHANARAO GANPATRAO,Nationalist Congress Party,349566
2182,Maharashtra,Buldhana,ABDUL HAFEEZ ABDUL AZIZ,Bahujan Samaj Party,33783
2183,Maharashtra,Buldhana,BALASAHEB SHANKAR DARADE,Independent,29793
2184,Maharashtra,Buldhana,SANDESH ASHOK AMBEDKAR,Bahujan Mukti Party,7927
2185,Maharashtra,Buldhana,PARMESHWAR HIRAMAN GAWAI,Ambedkarist Republican Party,6983
2186,Maharashtra,Buldhana,NAMDEO PUNDLIK DONGARDIVE,Independent,6959
2187,Maharashtra,Buldhana,SANJAY MAHADEV WANKHADE,Independent,4520
2188,Maharashtra,Buldhana,SUDHIR BABAN SURVE,Aam Aadmi Party,3429
2189,Maharashtra,Buldhana,VASANTRAO SUKHDEV DANDAGE,Samajwadi Party,2750
2190,Maharashtra,Buldhana,ADV. RAVINDRA DNYANDEO BHOJANE,Ambedkarite Party of India,2448
2191,Maharashtra,Buldhana,COMMANDER (RTD) ASHOK RAUT,Independent,2077
2192,Maharashtra,Buldhana,SAMBARE DINKAR TUKARAM,Independent,2006
2193,Maharashtra,Buldhana,CHINCHOLE GANGARAM KALUJI,Independent,1917
2194,Maharashtra,Buldhana,KRUSHNARAO INGLE,Independent,1787
2195,Maharashtra,Buldhana,SMT. PRABHATAI MADHUKAR PARLEWAR,Narayani Sena,1725
2196,Maharashtra,Buldhana,RAVINDRASING RAMSING PAWAR,Lok Bharati,1265
2197,Maharashtra,Buldhana,None of the Above,None of the Above,10546
2198,Maharashtra,Akola,DHOTRE SANJAY SHAMRAO,Bharatiya Janata Party,456472
2199,Maharashtra,Akola,PATEL HIDAYAT ULLA BARKAT ULLA,Indian National Congress,253356
2200,Maharashtra,Akola,AMBEDKAR PRAKASH YASHWANT,Bharipa Bahujan Mahasangh,238776
2201,Maharashtra,Akola,AJAY PANJABRAO HINGANKAR,Aam Aadmi Party,8076
2202,Maharashtra,Akola,BHAI B.C. KAMBLE,Bahujan Samaj Party,7858
2203,Maharashtra,Akola,SHAIKH HAMEED IMAM,Bahujan Mukti Party,3991
2204,Maharashtra,Akola,SANDIP KISANRAO WANKHEDE,Independent,3756
2205,Maharashtra,Akola,None of the Above,None of the Above,6206
2206,Andhra Pradesh,Kakinada,THOTA NARASIMHAM,Telugu Desam,514402
2207,Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,510971
2208,Andhra Pradesh,Kakinada,MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,19754
2209,Andhra Pradesh,Kakinada,MOTHA SARADA,Republican Party of India (Khobragade),6836
2210,Andhra Pradesh,Kakinada,JALLURI VENKATESWARLU (J.V),Independent,6636
2211,Andhra Pradesh,Kakinada,TUMMALAPALLI SATYA RAMAKRISHNA,Jai Samaikyandhra Party,6442
2212,Andhra Pradesh,Kakinada,TEKUMUDI VENKATA RAO,Pyramid Party of India,3826
2213,Andhra Pradesh,Kakinada,DONKA LEELAVATHI,Independent,3756
2214,Andhra Pradesh,Kakinada,KOLA VENKATA PRASAD VARMA,Rashtriya Janata Dal,3473
2215,Andhra Pradesh,Kakinada,MUTHABATHULA RATNA KUMAR,Bahujan Samaj Party,2511
2216,Andhra Pradesh,Kakinada,SRINIVAS DANGETI,Aam Aadmi Party,2356
2217,Andhra Pradesh,Kakinada,KARRA VENKATA APPALA NARASIMHA RAO,Independent,1907
2218,Andhra Pradesh,Kakinada,ROKKAM DAYAKAR,Republican Paksha (Khoripa),1837
2219,Andhra Pradesh,Kakinada,DONAM NEELAKANTAM,Independent,1697
2220,Andhra Pradesh,Kakinada,ARJUNARAO YEGUPATI,Communist Party of India (Marxist-Leninist) (Liberation),1495
2221,Andhra Pradesh,Kakinada,GUTTULA ANNAPURNA SESHAGIRI RAO (BATHPARTY-SESHU),Independent,1417
2222,Andhra Pradesh,Kakinada,VINJAMALLA CHITTI BABU,Independent,1400
2223,Andhra Pradesh,Kakinada,CHAGANTI SURYANARAYANA MURTY,Independent,1236
2224,Andhra Pradesh,Kakinada,PEPAKAYALA SUBHA RAJENDRA,Independent,1161
2225,Andhra Pradesh,Kakinada,KUNCHE RAMADAS,Independent,1122
2226,Andhra Pradesh,Kakinada,MERLA BHAVANI SANKARA PRASAD,Independent,910
2227,Andhra Pradesh,Kakinada,PRABHAKARA RAO MADIKI,Independent,496
2228,Andhra Pradesh,Kakinada,None of the Above,None of the Above,4358
2229,Maharashtra,Amravati,ADSUL ANANDRAO VITHOBA,Shivsena,467212
2230,Maharashtra,Amravati,NAVNEET RAVI RANA,Nationalist Congress Party,329280
2231,Maharashtra,Amravati,GUNWANT SUDAMRAO DEVPARE,Bahujan Samaj Party,98200
2232,Maharashtra,Amravati,DR.RAJENDRA RAMKRISHNA GAWAI,Republican Party of India,54278
2233,Maharashtra,Amravati,RAJU MAHADEORAO SONONE,Independent,10052
2234,Maharashtra,Amravati,RAJU S. MANKAR,Independent,7873
2235,Maharashtra,Amravati,BHAVNA BHAVESH WASNIK,Aam Aadmi Party,6424
2236,Maharashtra,Amravati,SIRSAT HARIDAS ANKUSH,Independent,5268
2237,Maharashtra,Amravati,ADV. BANDYA SANE ALIAS BANDU SAMPATRAO SANE,Independent,3732
2238,Maharashtra,Amravati,JYOTI GAJANAN MAKODE,Ambedkarite Party of India,3724
2239,Maharashtra,Amravati,MANOHAR BALIRAM SONONE,Independent,2489
2240,Maharashtra,Amravati,VISHWANATH GOTUJI JAMNEKAR,Independent,2011
2241,Maharashtra,Amravati,DONGRE PRIYA ANIL,Independent,1734
2242,Maharashtra,Amravati,ATHAWALEY SANJAY HIRAMANJI,Independent,1649
2243,Maharashtra,Amravati,SUNIL DAVID AMRAVATI,Bahujan Mukti Party,1463
2244,Maharashtra,Amravati,RAMTEKE RAMESH DEVIDASRAO,Republican Party of India (Khobragade),1442
2245,Maharashtra,Amravati,JYOTI SANJAY DEWKAR,Independent,1312
2246,Maharashtra,Amravati,KIRANTAI DADARAO ALIAS KOKUBHAU KOKATE,Independent,970
2247,Maharashtra,Amravati,ASHATAI ABHYANKAR AMRAVATI,Independent,809
2248,Maharashtra,Amravati,None of the Above,None of the Above,4139
2249,Maharashtra,Wardha,RAMDAS CHANDRABHANJI TADAS,Bharatiya Janata Party,537518
2250,Maharashtra,Wardha,MEGHE SAGAR DATTATRAYA,Indian National Congress,321735
2251,Maharashtra,Wardha,CHETAN BHIMRAJ PENDAM,Bahujan Samaj Party,90866
2252,Maharashtra,Wardha,MOHD. ALIM PATEL MOHD. WAHID,Aam Aadmi Party,15738
2253,Maharashtra,Wardha,UBALE SHRIKRUSHNA CHAMPATRAO,Ambedkarist Republican Party,6405
2254,Maharashtra,Wardha,MANISH VINAYAKRAO TELRANDHE,Independent,5127
2255,Maharashtra,Wardha,SHAMBHARKAR RAJENDRA GULABRAO,Independent,4436
2256,Maharashtra,Wardha,RAVI ALIAS SHAILESH GANESHRAO YELNE,Independent,3881
2257,Maharashtra,Wardha,SHAMBABA ALIAS SHAMSUNDAR PANJABRAO NICHIT,Independent,3440
2258,Maharashtra,Wardha,BHASKAR MAROTRAO NEWARE,Independent,3156
2259,Maharashtra,Wardha,RAUT JAGANATH NILKANTH,Independent,2638
2260,Maharashtra,Wardha,NARENDRA CHINDUJI MESHRAM,Gondvana Gantantra Party,2627
2261,Maharashtra,Wardha,KISHOR RAMBHAU KINKAR,Bahujan Mukti Party,2518
2262,Maharashtra,Wardha,TADAS VILAS KRUSHNAJI,Independent,2124
2263,Maharashtra,Wardha,DR. ANKUSH VIJAYRAO NAWALE,Samajwadi Party,1858
2264,Maharashtra,Wardha,DESHMUKH JAIDEEP RAJENDRA,Independent,1431
2265,Maharashtra,Wardha,SACHIN PANDURANGJI RAUT ALIAS GURUBHAU,Independent,1245
2266,Maharashtra,Wardha,DEEPAKSINGH TRYAMBAKRAO DESHMUKH,Independent,1122
2267,Maharashtra,Wardha,JAGDISH BHAGWAN KADU,Independent,853
2268,Maharashtra,Wardha,SANJAYBHAU NARAYANRAO CHIDAM,Independent,770
2269,Maharashtra,Wardha,ARVIND SHAMRAO LILLORE,Independent,614
2270,Maharashtra,Wardha,None of the Above,None of the Above,3343
2271,Maharashtra,Ramtek,KRUPAL BALAJI TUMANE,Shivsena,519892
2272,Maharashtra,Ramtek,MUKUL WASNIK,Indian National Congress,344101
2273,Maharashtra,Ramtek,KIRAN PREM KUMAR RODGE (PATANKAR),Bahujan Samaj Party,95051
2274,Maharashtra,Ramtek,PRATAP GOSWAMI,Aam Aadmi Party,25889
2275,Maharashtra,Ramtek,GOUTAM SHRIRAM WASNIK,Independent,6353
2276,Maharashtra,Ramtek,TUMANE GOPAL AJABRAO,Independent,6304
2277,Maharashtra,Ramtek,GANESH BAPURAO PATIL,Gondvana Gantantra Party,6222
2278,Maharashtra,Ramtek,PROF. DR. NATTHU MADHAO LOKHANDE,Independent,4756
2279,Maharashtra,Ramtek,DONGRE ASHOK NAMAJI,Independent,3999
2280,Maharashtra,Ramtek,DHIMATI VIDYA KISHOR BHIMTE,Ambedkarite Party of India,3634
2281,Maharashtra,Ramtek,GURUDAS UDDHAV BAWANE,Independent,3419
2282,Maharashtra,Ramtek,KHOBRAGADE CHANDRABHAN JAIRAM,Independent,2925
2283,Maharashtra,Ramtek,NARESH MAHADEO PATIL,Bahujan Mukti Party,2841
2284,Maharashtra,Ramtek,CHAWARE MAYA NAMDEO,Samajwadi Party,2682
2285,Maharashtra,Ramtek,DR. SANDEEP NATTHUJI NANDESHWAR,Bharipa Bahujan Mahasangh,2640
2286,Maharashtra,Ramtek,NILESH MAHADEO DHOKE,Independent,2537
2287,Maharashtra,Ramtek,SANDESH BHIVRAM BHALEKAR,All India Forward Bloc,2424
2288,Maharashtra,Ramtek,DR. SUNILBHAU VISHWANATHJI NARNAVRE,Republican Party of India (Khobragade),2310
2289,Maharashtra,Ramtek,LOKHANDE GANESH HAIBATRAO,Independent,1735
2290,Maharashtra,Ramtek,COM. BANDU RAMCHANDRA MESHRAM,Communist Party of India (Marxist-Leninist) Red Star,1602
2291,Maharashtra,Ramtek,RAHULKANT ALIAS RAMESH SINHA,Independent,1542
2292,Maharashtra,Ramtek,PANKAJ SEWAKRAM MASURKAR,Hindustan Janta Party,1453
2293,Maharashtra,Ramtek,RAHUL SHESHRAOJI MESHRAM,Independent,1189
2294,Maharashtra,Ramtek,None of the Above,None of the Above,4816
2295,Maharashtra,Nagpur,GADKARI NITIN JAIRAM,Bharatiya Janata Party,587767
2296,Maharashtra,Nagpur,VILAS MUTTEMWAR,Indian National Congress,302939
2297,Maharashtra,Nagpur,DR. MOHAN RAMRAO GAIKWAD,Bahujan Samaj Party,96433
2298,Maharashtra,Nagpur,ANJALI ANISH DAMANIA,Aam Aadmi Party,69081
2299,Maharashtra,Nagpur,KAVITA VINODKUMAR TIBDIWAL,Independent,2408
2300,Maharashtra,Nagpur,KANPHADE RAJENDRAKUMAR EX. ADDITIONAL COLLECTOR,Independent,2269
2301,Maharashtra,Nagpur,SENAPATI UTTAM SAPAN,Independent,2017
2302,Maharashtra,Nagpur,CHANDA SUDHIR MANWATKAR,Independent,1880
2303,Maharashtra,Nagpur,DR. PRADEEP RAMBHAUJI NAGRALE,Ambedkarite Party of India,1366
2304,Maharashtra,Nagpur,ANSARI JAVED AHEMAD,Democratic Secular Party,1262
2305,Maharashtra,Nagpur,SHRIDHAR NARAYAN SALVE,Independent,1187
2306,Maharashtra,Nagpur,SOMKUVAR VIJAY SITARAM,Independent,1077
2307,Maharashtra,Nagpur,SUNIL DATTU PENDOR,Bahujan Mukti Party,836
2308,Maharashtra,Nagpur,JIVAN RAMTEKE,Independent,807
2309,Maharashtra,Nagpur,GAUS MOHAMMED SHEIKH AYYUB SHEIKH,Independent,784
2310,Maharashtra,Nagpur,RAVINDRA MANIK BORKAR,Independent,760
2311,Maharashtra,Nagpur,ADV. SURESH SHINDE,Independent,677
2312,Maharashtra,Nagpur,MOHAN MAROTRAO KAREMORE,Independent,665
2313,Maharashtra,Nagpur,ANITA NAGDIGAMBAR TEKAM,Independent,660
2314,Maharashtra,Nagpur,PHUSEY GHANSHYAM RAMAJI,Republican Party of India,655
2315,Maharashtra,Nagpur,SHAKIL WASI AHAMAD,Independent,542
2316,Maharashtra,Nagpur,AJAZ KHAN,Independent,542
2317,Maharashtra,Nagpur,BABURAO DAMADUJI MESHRAM,Independent,539
2318,Maharashtra,Nagpur,RAJESH SURESH SADHANKAR,Independent,537
2319,Maharashtra,Nagpur,CHIMOTE RAMMURTI KESHVRAO,Gondvana Gantantra Party,528
2320,Maharashtra,Nagpur,BASHIR KHAN,Minorities Democratic Party,466
2321,Maharashtra,Nagpur,SHAHID SHARIF,Janata Dal (United),452
2322,Maharashtra,Nagpur,PANKAJ PRAFULKUMAR BHANSALI,Independent,439
2323,Maharashtra,Nagpur,DR. DHARMENDRA MANDLIK (PARATE),Hindustan Janta Party,426
2324,Maharashtra,Nagpur,BABULAL SUNDARLAL BANJARE,Independent,419
2325,Maharashtra,Nagpur,DILIP NARAYAN BHORKAR,Independent,415
2326,Maharashtra,Nagpur,DHIRAJ JAIDEV GAJBHIYE,Independent,390
2327,Maharashtra,Nagpur,ATEEQUE AHMAD MALIK,Independent,373
2328,Maharashtra,Nagpur,None of the Above,None of the Above,3460
2329,Maharashtra,Bhandara,NANABHAU FALGUNRAO PATOLE,Bharatiya Janata Party,606129
2330,Maharashtra,Bhandara,PATEL PRAFUL MANOHARBHAI,Nationalist Congress Party,456875
2331,Maharashtra,Bhandara,ENG. SANJAY RAGHUNATH NASARE,Bahujan Samaj Party,50958
2332,Maharashtra,Bhandara,ADV.DADASAHEB ALIAS DHANU BHIKAJI WALTHARE,Independent,10133
2333,Maharashtra,Bhandara,MORESHWAR RAMAJI MESHRAM,Independent,10127
2334,Maharashtra,Bhandara,ZANZAD SHALIKRAM SHANKARRAO,Independent,9736
2335,Maharashtra,Bhandara,PRASHANT SHYAMSUNDAR MISHRA,Aam Aadmi Party,8647
2336,Maharashtra,Bhandara,DHANANJAY SHAMLALJI RAJABHOJ,Independent,6128
2337,Maharashtra,Bhandara,ISHWAR LAHANU NANDAGAWALI,Independent,5941
2338,Maharashtra,Bhandara,CHOLE OMPRAKASH BAKARAM,Independent,4417
2339,Maharashtra,Bhandara,VISHAL ARVIND BHOYAR,Independent,4169
2340,Maharashtra,Bhandara,PATLE ANJALI AGASTIKUMAR,Bharipa Bahujan Mahasangh,1955
2341,Maharashtra,Bhandara,ARUN NAGORAO GAJBHIYE,Independent,1876
2342,Maharashtra,Bhandara,BANTE JITENDRA RAMAJI,Independent,1729
2343,Maharashtra,Bhandara,SAYYAD AFJALALI ALIAS CHHANUBHAI,Minorities Democratic Party,1578
2344,Maharashtra,Bhandara,DR.KOHAPARE HARSHAWARDHAN MUNESHWAR,Bahujan Mukti Party,1544
2345,Maharashtra,Bhandara,DAHARWAL GANESHDEO RAGHUJI,Gondvana Gantantra Party,1542
2346,Maharashtra,Bhandara,SUSHMA VITTHAL NAGPURE,Independent,1477
2347,Maharashtra,Bhandara,RAMAN MOTIRAM BANSOD,Ambedkarite Party of India,1429
2348,Maharashtra,Bhandara,MATE MANOHAR ALIAS MAMA,Independent,1380
2349,Maharashtra,Bhandara,THAKARE RAMESHWAR (RAMESHWAR) SUNDARLAL,Samajwadi Party,1260
2350,Maharashtra,Bhandara,JITENDRA AADKUJI RAUT,Akhil Bharatiya Manavata Paksha,1077
2351,Maharashtra,Bhandara,RANJEET AMARDAS SUKHDEVE,Ambedkar Samaj Party,987
2352,Maharashtra,Bhandara,MIRZA VAHED BEG AHMADBEG,Independent,899
2353,Maharashtra,Bhandara,VARSHA GOVIND TIDKE,Independent,594
2354,Maharashtra,Bhandara,WADHAVE DAMODHAR NATTHU,Independent,577
2355,Maharashtra,Bhandara,None of the Above,None of the Above,4032
2356,Maharashtra,Gadchiroli-Chimur,ASHOK MAHADEORAO NETE,Bharatiya Janata Party,535982
2357,Maharashtra,Gadchiroli-Chimur,DR. NAMDEO DALLUJI USENDI,Indian National Congress,299112
2358,Maharashtra,Gadchiroli-Chimur,RAMRAO GOVINDA NANNAWARE,Bahujan Samaj Party,66906
2359,Maharashtra,Gadchiroli-Chimur,DR. GAJBE RAMESHKUMAR BABURAOJI,Aam Aadmi Party,45458
2360,Maharashtra,Gadchiroli-Chimur,NAMDEO ANANDRAO KANNAKE,Communist Party of India,22512
2361,Maharashtra,Gadchiroli-Chimur,SATISH GOKULDAS PENDAM,All India Trinamool Congress,8156
2362,Maharashtra,Gadchiroli-Chimur,DEORAO MONBA NANNAWARE,Ambedkarite Party of India,6606
2363,Maharashtra,Gadchiroli-Chimur,DANDEKAR BABURAO LAXMAN,Independent,6470
2364,Maharashtra,Gadchiroli-Chimur,VINOD ANKUSH NANNAWARE,Samajwadi Party,4287
2365,Maharashtra,Gadchiroli-Chimur,DIWAKAR PENDAM (EX. SERVICEMAN),Bahujan Mukti Party,3730
2366,Maharashtra,Gadchiroli-Chimur,ADV. PRABHAKAR MAHAGUJI DADMAL,Republican Party of India,3422
2367,Maharashtra,Gadchiroli-Chimur,None of the Above,None of the Above,24488
2368,Maharashtra,Chandrapur,AHIR HANSRAJ GANGARAM,Bharatiya Janata Party,508049
2369,Maharashtra,Chandrapur,DEOTALE SANJAY WAMANRAO,Indian National Congress,271780
2370,Maharashtra,Chandrapur,CHATAP WAMANRAO SADASHIV,Aam Aadmi Party,204413
2371,Maharashtra,Chandrapur,KUMBHARE HANSRAJ GULAB,Bahujan Samaj Party,49229
2372,Maharashtra,Chandrapur,PRAMOD MANGARUJI SORTE,Independent,10930
2373,Maharashtra,Chandrapur,VINOD DINANATH MESHRAM,Independent,8936
2374,Maharashtra,Chandrapur,ASHOK VITHOBA KHANDALE,Republican Party of India,8302
2375,Maharashtra,Chandrapur,NAMDEO SHEDMAKE,Independent,5829
2376,Maharashtra,Chandrapur,NANDKISHOR GANGARAM RANGARI,Ambedkarite Party of India,4850
2377,Maharashtra,Chandrapur,FIRAJ PATHAN,Bahujan Mukti Party,4341
2378,Maharashtra,Chandrapur,QURESHI M. EKHALAK M. YUSUF,Socialist Party (India),4176
2379,Maharashtra,Chandrapur,KARTIK GAJANAN KODAPE,Independent,3879
2380,Maharashtra,Chandrapur,NITIN VASANT POHANE,Lok Bharati,3772
2381,Maharashtra,Chandrapur,PANKAJKUMAR SHARMA,All India Trinamool Congress,3216
2382,Maharashtra,Chandrapur,GHAYWAN ROSHAN JAMBUWANTRAO,Republican Paksha (Khoripa),2736
2383,Maharashtra,Chandrapur,ATUL ASHOK MUNGINWAR,Independent,2693
2384,Maharashtra,Chandrapur,SIDDHARTH RAUT,Prabuddha Republican Party,2188
2385,Maharashtra,Chandrapur,SANJAY NILKANTH GAWANDE,Independent,2167
2386,Maharashtra,Chandrapur,None of the Above,None of the Above,8257
2387,Maharashtra,Yavatmal-Washim,GAWALI BHAVANA PUNDLIKRAO,Shivsena,477905
2388,Maharashtra,Yavatmal-Washim,ADV.SHIVAJIRAO SHIVARAMJI MOGHE,Indian National Congress,384089
2389,Maharashtra,Yavatmal-Washim,RATHOD BALIRAM PARASHRAM,Bahujan Samaj Party,48981
2390,Maharashtra,Yavatmal-Washim,RAJU OR BHARATRAJE UDDHAORAO PATIL,Maharashtra Navnirman sena,26194
2391,Maharashtra,Yavatmal-Washim,RATHOD MOHAN MALLU,Bharipa Bahujan Mahasangh,22143
2392,Maharashtra,Yavatmal-Washim,GAIKAWAD RAJENDRA VITTHAL,Independent,7482
2393,Maharashtra,Yavatmal-Washim,ULHAS VASRAMJI JADHAO,Independent,7166
2394,Maharashtra,Yavatmal-Washim,RATHOD NARESH FULSING,Aam Aadmi Party,6423
2395,Maharashtra,Yavatmal-Washim,ABRAR AHMAD MAHMUD KHAN,Welfare Party Of India,5672
2396,Maharashtra,Yavatmal-Washim,DHOTE JAMBUWANTRAO BAPURAO,All India Forward Bloc,4708
2397,Maharashtra,Yavatmal-Washim,RATHOD INDUWAR KASHIRAM,Bahujan Mukti Party,4627
2398,Maharashtra,Yavatmal-Washim,SUDHAKAR NAMDEORAO GHAYAWAN,Republican Party of India (Khobragade),3602
2399,Maharashtra,Yavatmal-Washim,NARESH MAHADEORAO GUGHANE,Independent,3422
2400,Maharashtra,Yavatmal-Washim,AHMAD PARVEZ IQBAL AHMAD NUR MOHAMMAD,Samajwadi Party,3262
2401,Maharashtra,Yavatmal-Washim,PRAKASH RAGHUNATH RAUT,Independent,2514
2402,Maharashtra,Yavatmal-Washim,GURNULE RAMESH VITHOBA,Independent,2484
2403,Maharashtra,Yavatmal-Washim,SAWAKE RAMKRUSHNA PUNDLIKRAO,Communist Party of India (Marxist-Leninist) Red Star,2193
2404,Maharashtra,Yavatmal-Washim,CHAVAN VINOD NARAYAN,Independent,2177
2405,Maharashtra,Yavatmal-Washim,SHAIKH JABBAR SHAIKH USUF,Independent,2172
2406,Maharashtra,Yavatmal-Washim,SURESH RAJARAM MUKHMALE,Maharashtra Vikas Aghadi,2130
2407,Maharashtra,Yavatmal-Washim,RAGHUNATH SHANKARRAO SHELKE,Ambedkarist Republican Party,1911
2408,Maharashtra,Yavatmal-Washim,PRASHANT PANDHARINATH SURVE,Independent,1558
2409,Maharashtra,Yavatmal-Washim,KAMBLE UTTAM BHAGAJI,Prabuddha Republican Party,1402
2410,Maharashtra,Yavatmal-Washim,SHYAMKUMAR BAPURAO LOKHANDE,Independent,1218
2411,Maharashtra,Yavatmal-Washim,MESHRAM DNYANESHWAR TUKARAM,Independent,1036
2412,Maharashtra,Yavatmal-Washim,PATIL UPENDRA BABARAO,Independent,895
2413,Maharashtra,Yavatmal-Washim,None of the Above,None of the Above,5583
2414,Maharashtra,Hingoli,RAJEEV SHANKARRAO SATAV,Indian National Congress,467397
2415,Maharashtra,Hingoli,WANKHEDE SUBHASH BAPURAO,Shivsena,465765
2416,Maharashtra,Hingoli,JADHAV CHUNNILAL MOHAN,Bahujan Samaj Party,25145
2417,Maharashtra,Hingoli,D.B.NAIK,Communist Party of India (Marxist),14986
2418,Maharashtra,Hingoli,UTTAMRAO PANDURANG RATHOD,Bahujan Mukti Party,9770
2419,Maharashtra,Hingoli,RAMRAO HARISING RATHOD,Bharipa Bahujan Mahasangh,9577
2420,Maharashtra,Hingoli,DHABE UTTAM MAROTI,Independent,7878
2421,Maharashtra,Hingoli,WANKHEDE SUBHASH NAGORAO,Janata Dal (United),6284
2422,Maharashtra,Hingoli,WANKHEDE SUBHASH,Independent,6157
2423,Maharashtra,Hingoli,SATAV ATMARAM RAGHOJI,Independent,5000
2424,Maharashtra,Hingoli,PRINCIPAL DR.VITHAL NAMDEORAO KADAM,Aam Aadmi Party,3729
2425,Maharashtra,Hingoli,SATAV RAJU SHANKAR,Independent,3522
2426,Maharashtra,Hingoli,DEVJI GANGARAM ASOLE,Independent,3165
2427,Maharashtra,Hingoli,SHAIKH NAYEEM SHAIKH LAL,Samajwadi Party,2514
2428,Maharashtra,Hingoli,BHAROSE ANANT RAMRAO,Independent,2506
2429,Maharashtra,Hingoli,GHUNNAR PRAKASH VITTHALRAO,Independent,2497
2430,Maharashtra,Hingoli,DESHMUKH BALASAHEB DESAI,Independent,2154
2431,Maharashtra,Hingoli,UTTAM RATHOD,Independent,2147
2432,Maharashtra,Hingoli,NAIKWADE DIGAMBAR GUNAJI,Independent,2049
2433,Maharashtra,Hingoli,DESAI PANDURANG DEVRAO,Janata Dal (Secular),1675
2434,Maharashtra,Hingoli,SANTOSH NAMDEORAO SAGNE,Awami Vikas Party,1526
2435,Maharashtra,Hingoli,SURAJ VISHWANATH KONDARWAD,Independent,1322
2436,Maharashtra,Hingoli,SURYAWANSHI ASHOK BHAGWANRAO,Independent,1292
2437,Maharashtra,Hingoli,None of the Above,None of the Above,3107
2438,Maharashtra,Nanded,ASHOK SHANKARRAO CHAVAN,Indian National Congress,493075
2439,Maharashtra,Nanded,D. B. PATIL,Bharatiya Janata Party,411620
2440,Maharashtra,Nanded,RAJRATNA AMBEDKAR,Bahujan Mukti Party,28447
2441,Maharashtra,Nanded,DR. HANSRAJ DADARAOJI VAIDYA,Bahujan Samaj Party,22809
2442,Maharashtra,Nanded,FEROZ KHAN GAZI,Independent,8088
2443,Maharashtra,Nanded,PANJABRAO SHRIHARI WADJE PATIL,Independent,5825
2444,Maharashtra,Nanded,BOCHARE SHANKAR MAHADJI,Independent,5694
2445,Maharashtra,Nanded,MOHD. MAROOF AB. RAUF,Independent,4771
2446,Maharashtra,Nanded,RAMCHANDRA GYANOBA SAWANT,Bharipa Bahujan Mahasangh,4206
2447,Maharashtra,Nanded,GRANTHI NARENDRASINGH ANMOLSINGH,Aam Aadmi Party,3397
2448,Maharashtra,Nanded,RAMCHANDRA GANGARAM BHARANDE,Independent,3067
2449,Maharashtra,Nanded,DATTARAM BALAJI SURWANSHI,Independent,2882
2450,Maharashtra,Nanded,PATHAN ZAFAR ALIKHAN MEHMOOD ALIKHAN,Independent,1993
2451,Maharashtra,Nanded,GHUNNAR PRAKASH VITHALRAO,Independent,1753
2452,Maharashtra,Nanded,SHINDE BALAJI VISHWANATHRAO,Samajwadi Party,1724
2453,Maharashtra,Nanded,SONTAKKE LAXMAN KISHAN,Independent,1667
2454,Maharashtra,Nanded,ALTAF AHMED IQBAL AHMED,Indian Union Muslim League,1547
2455,Maharashtra,Nanded,HANMANTE VIJAY CHANDRAO,Independent,1479
2456,Maharashtra,Nanded,ADV. DHONDOPANT NAGORAO HANUMANTE,Independent,1473
2457,Maharashtra,Nanded,SAYYED TANVEER SAYYADHAMAJA,Majlis Bachao Tahreek,1288
2458,Maharashtra,Nanded,ADV. DEELIP PRABHAKARRAO KULKARNI (PHULWALKAR),Independent,1285
2459,Maharashtra,Nanded,SHAIKH AFZALUDDIN AZEEMUDDIN,Lok Bharati,1065
2460,Maharashtra,Nanded,VENUGOPAL SHASTRI TUMULURI S/O RAMKRISHNA,Independent,1040
2461,Maharashtra,Nanded,None of the Above,None of the Above,3155
2462,Andhra Pradesh,Amalapuram,DR PANDULA RAVINDRA BABU,Telugu Desam,594547
2463,Andhra Pradesh,Amalapuram,PINIPE VISWARUPU,Yuvajana Sramika Rythu Congress Party,473971
2464,Andhra Pradesh,Amalapuram,AITHABATHULA JOGESWARA VENKATA BUTCHI MAHESWARA RAO,Indian National Congress,12182
2465,Andhra Pradesh,Amalapuram,G.V.HARSHA KUMAR,Jai Samaikyandhra Party,9931
2466,Andhra Pradesh,Amalapuram,GEDDAM SAMPADA RAO,Bahujan Samaj Party,7219
2467,Andhra Pradesh,Amalapuram,KUNCHE PEDASATYANARAYANA,Pyramid Party of India,4560
2468,Andhra Pradesh,Amalapuram,KONKI VENKATA RAO,Republican Paksha (Khoripa),3233
2469,Andhra Pradesh,Amalapuram,VIJAYA CHAKRAVARTHY PANTHAGADA,Republican Party of India (Khobragade),2867
2470,Andhra Pradesh,Amalapuram,VADDI WINSTON CHURCHILL,Independent,1684
2471,Andhra Pradesh,Amalapuram,YALANGI RAMESH,Independent,1171
2472,Andhra Pradesh,Amalapuram,KASI CHANDRAMOULI,Independent,1110
2473,Andhra Pradesh,Amalapuram,UNDRU GANI RAJU,Independent,862
2474,Andhra Pradesh,Amalapuram,BHASKARA RAO BUNGA,Independent,824
