CONSTITUENCY,WINNER_CANDIDATE,WINNER_PARTY,WINNER_VOTES,RUNNER_CANDIDATE,RUNNER_PARTY,RUNNER_VOTES,DIFFERENCE_IN_VOTES
RAMPUR,"DR. NEPAL SINGH","BHARATIYA JANATA PARTY",358616,"NASEER AHMAD KHAN","SAMAJWADI PARTY",335181,23435
MANGALDOI,"RAMEN DEKA","BHARATIYA JANATA PARTY",486357,"KIRIP CHALIHA","INDIAN NATIONAL CONGRESS",463473,22884
ALIPURDUARS,"DASRATH TIRKEY","ALL INDIA TRINAMOOL CONGRESS",362453,"MANOHAR TIRKEY","REVOLUTIONARY SOCIALIST PARTY",341056,21397
PATIALA,"DR. DHARAM VIRA GANDHI","AAM AADMI PARTY",365671,"PRENEET KAUR","INDIAN NATIONAL CONGRESS",344729,20942
WAYANAD,"M I SHANAVAS","INDIAN NATIONAL CONGRESS",377035,"SATHYAN MOKERI","COMMUNIST PARTY OF INDIA",356165,20870
MADHUBANI,"HUKM DEO NARAYAN YADAV","BHARATIYA JANATA PARTY",358040,"ABDUL BARI SIDDIQUI","RASHTRIYA JANATA DAL",337505,20535
KANNAUJ,"DIMPLE YADAV","SAMAJWADI PARTY",489164,"SUBRAT PATHAK","BHARATIYA JANATA PARTY",469257,19907
LUDHIANA,"RAVNEET SINGH BITTU","INDIAN NATIONAL CONGRESS",300459,"HARVINDER SINGH PHOOLKA","AAM AADMI PARTY",280750,19709
ALAPPUZHA,"K C VENUGOPAL","INDIAN NATIONAL CONGRESS",462525,"C B CHANDRABABU","COMMUNIST PARTY OF INDIA (MARXIST)",443118,19407
BATHINDA,"HARSIMRAT KAUR BADAL","SHIROMANI AKALI DAL",514727,"MANPREET SINGH BADAL S/O GURDAS SINGH","INDIAN NATIONAL CONGRESS",495332,19395
KORAPUT,"JHINA HIKAKA","BIJU JANATA DAL",395109,"GIRIDHAR GAMANG","INDIAN NATIONAL CONGRESS",375781,19328
SUNDARGARH,"JUAL @ JUEL ORAM","BHARATIYA JANATA PARTY",340508,"DILIP KUMAR TIRKEY","BIJU JANATA DAL",321679,18829
MURSHIDABAD,"BADARUDDOZA KHAN","COMMUNIST PARTY OF INDIA (MARXIST)",426947,"ABDUL MANNAN HOSSAIN","INDIAN NATIONAL CONGRESS",408494,18453
DAVANAGERE,"G M SIDDESHWARA","BHARATIYA JANATA PARTY",518894,"S.S. MALLIKARJUN","INDIAN NATIONAL CONGRESS",501287,17607
KOZHIKODE,"M .K RAGHAVAN","INDIAN NATIONAL CONGRESS",397615,A.VIJAYARAGHAVAN,"COMMUNIST PARTY OF INDIA (MARXIST)",380732,16883
DURG,"TAMRADHWAJ SAHU","INDIAN NATIONAL CONGRESS",570687,"SAROJ PANDEY","BHARATIYA JANATA PARTY",553839,16848
NAGARKURNOOL,"YELLAIAH NANDI","INDIAN NATIONAL CONGRESS",420075,"DR. MANDA JAGANNATH","TELANGANA RASHTRA SAMITHI",403399,16676
ONGOLE,"Y.V.SUBBA REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",589960,"MAGUNTA SREENIVASULU REDDY","TELUGU DESAM",574302,15658
"OUTER MANIPUR","THANGSO BAITE","INDIAN NATIONAL CONGRESS",296770,"SOSO LORHO","NAGA PEOPLES FRONT",281133,15637
THIRUVANANTHAPURAM,"DR. SHASHI THAROOR","INDIAN NATIONAL CONGRESS",297806,"SRI. O RAJAGOPAL","BHARATIYA JANATA PARTY",282336,15470
CHALAKUDY,INNOCENT,INDEPENDENT,358440,"P C CHACKO","INDIAN NATIONAL CONGRESS",344556,13884
HOSHIARPUR,"VIJAY SAMPLA","BHARATIYA JANATA PARTY",346643,"MOHINDER SINGH KAYPEE","INDIAN NATIONAL CONGRESS",333061,13582
NELLORE,"MEKAPATI RAJAMOHAN REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",576396,"ADALA PRABHAKARA REDDY","TELUGU DESAM",562918,13478
"ARUNACHAL EAST","NINONG ERING","INDIAN NATIONAL CONGRESS",118455,"TAPIR GAO","BHARATIYA JANATA PARTY",105977,12478
KHAMMAM,"PONGULETI SRINIVASA REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",421957,"NAMA NAGESWARA RAO","TELUGU DESAM",409983,11974
BARGARH,"PRABHAS KUMAR SINGH","BIJU JANATA DAL",383230,"SUBASH CHOUHAN","BHARATIYA JANATA PARTY",372052,11178
BANKA,"JAI PRAKASH NARAYAN YADAV","RASHTRIYA JANATA DAL",285150,"PUTUL KUMARI","BHARATIYA JANATA PARTY",275006,10144
NALANDA,"KAUSHLENDRA KUMAR","JANATA DAL (UNITED)",321982,"SATYA NAND SHARMA","LOK JAN SHAKTI PARTY",312355,9627
CHIKKBALLAPUR,"M VEERAPPA MOILY","INDIAN NATIONAL CONGRESS",424800,"B N BACHE GOWDA","BHARATIYA JANATA PARTY",415280,9520
BHAGALPUR,"SHAILESH KUMAR URPH BULO MANDAL","RASHTRIYA JANATA DAL",367623,"SYED SHAHNAWAZ HUSSAIN","BHARATIYA JANATA PARTY",358138,9485
"DAMAN & DIU","PATEL LALUBHAI BABUBHAI","BHARATIYA JANATA PARTY",46960,"KETAN DAHYABHAI PATEL","INDIAN NATIONAL CONGRESS",37738,9222
SATNA,"GANESH SINGH","BHARATIYA JANATA PARTY",375288,"AJAY SINGH RAHUL BHAIYYA","INDIAN NATIONAL CONGRESS",366600,8688
JANGIPUR,"ABHIJIT MUKHERJEE","INDIAN NATIONAL CONGRESS",378201,"MUZAFFAR HOSSAIN","COMMUNIST PARTY OF INDIA (MARXIST)",370040,8161
"ANDAMAN & NICOBAR ISLANDS","BISHNU PADA RAY","BHARATIYA JANATA PARTY",90969,"KULDEEP RAI SHARMA","INDIAN NATIONAL CONGRESS",83157,7812
KASARAGOD,"P KARUNAKARAN","COMMUNIST PARTY OF INDIA (MARXIST)",384964,"ADV. T SIDDIQUE","INDIAN NATIONAL CONGRESS",378043,6921
"SAMASTIPUR (SC)","RAM CHANDRA PASWAN","LOK JAN SHAKTI PARTY",270401,"DR. ASHOK KUMAR","INDIAN NATIONAL CONGRESS",263529,6872
KANNUR,"P K SREEMATHI TEACHER","COMMUNIST PARTY OF INDIA (MARXIST)",427622,"K SUDHAKARAN","INDIAN NATIONAL CONGRESS",421056,6566
LOHARDAGA,"SUDARSHAN BHAGAT","BHARATIYA JANATA PARTY",226666,"RAMESHWAR ORAON","INDIAN NATIONAL CONGRESS",220177,6489
"DADAR & NAGAR HAVELI","PATEL NATUBHAI GOMANBHAI","BHARATIYA JANATA PARTY",80790,"DELKAR MOHANBHAI SANJIBHAI","INDIAN NATIONAL CONGRESS",74576,6214
MIZORAM,"C. L. RUALA","INDIAN NATIONAL CONGRESS",210485,"ROBERT ROMAWIA ROYTE",INDEPENDENT,204331,6154
HAMIRPUR,"ANURAG SINGH THAKUR","BHARATIYA JANATA PARTY",453884,"ANURAG SINGH THAKUR","BHARATIYA JANATA PARTY",448035,5849
MANDYA,C.S.PUTTARAJU,"JANATA DAL (SECULAR)",524370,RAMYA,"INDIAN NATIONAL CONGRESS",518852,5518
SAMBHAL,"SATYAPAL SINGH","BHARATIYA JANATA PARTY",360242,"DR SHAFIQ- UR RAHMAN BARQ","SAMAJWADI PARTY",355068,5174
KORBA,"DR. BANSHILAL MAHTO","BHARATIYA JANATA PARTY",439002,"CHARAN DAS MAHANT","INDIAN NATIONAL CONGRESS",434737,4265
KAKINADA,"THOTA NARASIMHAM","TELUGU DESAM",514402,"CHALAMALASETTY SUNIL","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",510971,3431
VADAKARA,"MULLAPPALLY RAMACHANDRAN","INDIAN NATIONAL CONGRESS",416479,ADV.A.N.SHAMSEER,"COMMUNIST PARTY OF INDIA (MARXIST)",413173,3306
CHIKKODI,"PRAKASH BABANNA HUKKERI","INDIAN NATIONAL CONGRESS",474373,"KATTI RAMESH VISHWANATH","BHARATIYA JANATA PARTY",471370,3003
MAHBUBNAGAR,"AP JITHENDER REDDY","TELANGANA RASHTRA SAMITHI",334228,"JAIPAL REDDY SUDINI","INDIAN NATIONAL CONGRESS",331638,2590
RAIGAD,"ANANT GEETE",SHIVSENA,396178,"TATKARE SUNIL DATTATREY","NATIONALIST CONGRESS PARTY",394068,2110
NABARANGPUR,"BALABHADRA MAJHI","BIJU JANATA DAL",373887,"PRADEEP KUMAR MAJHI","INDIAN NATIONAL CONGRESS",371845,2042
RAIGANJ,"MD. SALIM","COMMUNIST PARTY OF INDIA (MARXIST)",317515,"DEEPA DASMUNSI","INDIAN NATIONAL CONGRESS",315881,1634
HINGOLI,"RAJEEV SHANKARRAO SATAV","INDIAN NATIONAL CONGRESS",467397,"WANKHEDE SUBHASH BAPURAO",SHIVSENA,465765,1632
LAKSHADWEEP,"MOHAMMED FAIZAL P.P.","NATIONALIST CONGRESS PARTY",21665,"HAMDULLAH SAYEED","INDIAN NATIONAL CONGRESS",20130,1535
RAICHUR,B.V.NAYAK,"INDIAN NATIONAL CONGRESS",443659,"ARAKERA SHIVANAGOUDA NAYAK","BHARATIYA JANATA PARTY",442160,1499
MAHASAMUND,"CHANDU LAL SAHU (CHANDU BHAIYA)","BHARATIYA JANATA PARTY",503514,"AJIT JOGI","INDIAN NATIONAL CONGRESS",502297,1217
LADAKH,"THUPSTAN CHHEWANG","BHARATIYA JANATA PARTY",31111,"GHULAM RAZA",INDEPENDENT,31075,36
